Key,Id,Shared Comments,Korean(ko),Korean(ko) Comments,English(en),English(en) Comments,Japanese (Japan)(ja-JP),Japanese (Japan)(ja-JP) Comments
Item_Name_56,,,랜덤 박스,,Random Box,,ランダムボックス,
Item_Name_57,,,스킬북,,Skill Book,,スキルブック,
Item_Name_58,,,잃어버린 택배,,Lost Parcel,,失くした宅配便です,
Item_Name_59,,,코인 뭉텅이,,Bunch Of Coins,,コイン一枚です,
Item_Name_60,,,코인 지갑,,Coin Wallet,,コイン財布です,
Item_Name_61,,,코인 상자,,Coin Box,,コインの箱です,
Item_Name_62,,,보석 뭉텅이,,Bundle Of Jewels,,宝石の束です,
Item_Name_63,,,보석 지갑,,Jewelry Wallet,,宝石の財布です,
Item_Name_64,,,보석 상자,,Jewelry Box,,宝石箱です,
Item_Name_65,,,뼈다귀,,Bone Of Bone,,骨です,
Item_Name_66,,,헌 신발,,Old Shoes,,古い靴です,
Item_Name_67,,,깨진 손거울,,Broken Hand Mirror,,割れた手鏡,
Item_Name_68,,,녹슨 고철,,Rusty Scrap Metal,,錆びた古鉄,
Item_Name_69,,,고장난 시계,,Broken Watch,,壊れた時計,
Item_Name_70,,,미정,,Undetermined,,未定.,
Item_Name_71,,,미정,,Undetermined,,未定.,
Item_Name_72,,,미정,,Undetermined,,未定.,
Item_Name_73,,,미정,,Undetermined,,未定.,
Item_Name_74,,,미정,,Undetermined,,未定.,
Item_Name_75,,,미정,,Undetermined,,未定.,
Item_Name_76,,,미정,,Undetermined,,未定.,
Item_Name_77,,,미정,,Undetermined,,未定.,
Item_Name_78,,,미정,,Undetermined,,未定.,
Item_Name_79,,,미정,,Undetermined,,未定.,
Item_Information_0,,,쓰러진 용병중 한명을 부활시킵니다.,,Resurrect one of the fallen mercenaries.,,倒れた傭兵の一人を復活させます。,
Item_Information_1,,,체력의 10%를 회복합니다.,,It restores 10% of your physical strength.,,体力の10%を回復します。,
Item_Information_2,,,체력의 20%를 회복합니다.,,It restores 20% of your physical strength.,,体力の20%を回復します。,
Item_Information_3,,,연료의 10%를 충전합니다,,It charges 10% of the fuel,,燃料の 10% を充電します,
Item_Information_4,,,연료의 20%를 충전합니다,,It charges 20% of the fuel,,燃料の 20% を充電します,
Item_Information_5,,,기차 차량칸 전체의 내구도를 10% 수리합니다.,,Repair 10% of the durability of the entire train compartment.,,電車の車両室全体の耐久度を 10% 修理します。,
Item_Information_6,,,기차 차량칸 전체의 내구도를 20% 수리합니다.,,Repair 20% of the durability of the entire train compartment.,,電車の車両室全体の耐久度を 20% 修理します。,
Item_Information_7,,,15초 동안 기차 속도를 높입니다.,,Speed up the train for 15 seconds.,,15 秒間、電車の速度を上げます。,
Item_Information_8,,,20동안 플레이어의 이동속도를 대폭 상승시킵니다.,,It significantly increases the player's travel speed for 20 years.,,20 日間、プレイヤーの移動速度を大幅に上昇させます。,
Item_Information_9,,,10총안 플레이어의 이동속도가 소폭 상승하고 체력의 1%를 회복합니다,,The 10-gun player's movement speed increases slightly and restores 1% of his physical strength,,10 総眼プレーヤーの移動速度がわずかに上昇し、体力の 1% を回復します,
Item_Information_10,,,30초동안 용병들의 행동 쿨타임이 10%감소하고 행동 카운트를 1회 증가시킵니다.,,Reduce mercenaries' behavioral cool time by 10% for 30 seconds and increase the behavior count by 1 time.,,30秒間、傭兵の行動クールタイムが10%減少し、行動カウントを1回増加させます。,
Item_Information_11,,,20동안 플레이어의 공격력이 5증가합니다.,,The player's attack power increases by 5 during 20.,,20 間、プレイヤーの攻撃力が 5 増加します。,
Item_Information_12,,,플레이어의 상태이상을 해제합니다.,,Turn off the player's state abnormalities.,,プレイヤーのステータス異常を解除します。,
Item_Information_13,,,적에게 폭탄 풍선을 날립니다.,,Throw bomb balloons at the enemy.,,敵に爆弾風船を飛ばします。,
Item_Information_14,,,30초동안 적 처치시 획득하는 골드가 2배가 됩니다.,,The gold you earn when you kill enemies for 30 seconds is doubled.,,30秒間、敵を倒すと獲得するゴールドが2倍になります。,
Item_Information_15,,,"10초 동안 포탑의 공격속도, 회전속도가 증가합니다.",,The attack speed and rotation speed of the turret increase for 10 seconds.,,10秒間、砲塔の攻撃速度、回転速度が増加します。,
Item_Information_16,,,모든 용병의 체력을 10% 회복합니다.,,It restores 10% of all mercenaries' physical strength.,,すべての傭兵の体力を10%回復します。,
Item_Information_17,,,약점을 공격해 적에게 입히는 데미지가 2배가 됩니다.,,It doubles the damage you do to your enemy by attacking your weaknesses.,,弱点を攻撃して敵に与えるダメージが2倍になります。,
Item_Information_18,,,적이 다가오면 폭발하는 지뢰를 설치합니다.,,"When the enemy approaches, they install an exploding mine.",,敵が近づくと爆発する地雷を設置します。,
Item_Information_19,,,접촉시 데미지를 주는 철조망을 설치합니다.,,Install a barbed wire fence that will damage you in case of contact.,,接触時にダメージを与える鉄条網を設置します。,
Item_Information_20,,,15초 동안 적을 공격할 경우 체력의 0.5%를 회복합니다.,,"If you attack your enemy for 15 seconds, you will recover 0.5% of your stamina.",,15秒間、敵を攻撃すると体力の0.5%を回復します。,
Item_Information_21,,,15초 동안 공격력이 감소하지만 최대 3마리까지 튕기는 탄을 발사합니다.,,It fires a bullet that reduces attack power for 15 seconds but bounces up to three.,,15秒間、攻撃力が減少しますが、最大3匹まで跳ね返る弾を発射します。,
Item_Information_22,,,15초 동안 공격력이 감소하지만 적에게 화상을 부여합니다.,,"It reduces attack power for 15 seconds, but gives the enemy a burn.",,15 秒間、攻撃力が減少しますが、敵に火傷を与えます。,
Item_Information_23,,,공격력 10의 단검을 5회 던집니다.,,Throw 5 daggers with an attack power of 10.,,攻撃力10の短剣を5回投げます。,
Item_Information_24,,,30초동안 적의 출현 빈도가 감소합니다.,,The frequency of the enemy's appearance decreases for 30 seconds.,,30 秒間、敵の出現頻度が減少します。,
Item_Information_25,,,30초동안 적의 출현 빈도가 증가합니다.,,The frequency of the enemy's appearance increases for 30 seconds.,,30 秒間、敵の出現頻度が増加します。,
Item_Information_26,,,30초 동안 적들을 약화시킵니다.,,Weaken enemies for 30 seconds.,,30秒間、敵を弱体化させます。,
Item_Information_27,,,30초 동안 적들의 크기가 증가하고 이동속도가 느려집니다.,,"For 30 seconds, the size of the enemies increases and the speed of movement slows down.",,30 秒間、敵のサイズが増加し、移動速度が遅くなります。,
Item_Information_28,,,큰 천막을 랜덤한 위치에 설치합니다.,,Set up a large tent in a random location.,,大きなテントをランダムな位置に設置します。,
Item_Information_29,,,10초간 유지되는 미니 포탑을 랜덤한 위치에 설치합니다.,,Install a mini turret that lasts for 10 seconds in a random location.,,10 秒間保持されるミニ砲塔をランダムな位置に設置します。,
Item_Information_30,,,15초 동안 플레이어의 공격력과 공격속도를 증가시킵니다.,,Increase the player's attack power and attack speed for 15 seconds.,,15 秒間、プレイヤーの攻撃力と攻撃速度を増加させます。,
Item_Information_31,,,20초 동안 탄환의 크기를 증가시킵니다.,,Increase the size of the bullet for 20 seconds.,,20秒間、弾丸の大きさを増加させます。,
Item_Information_32,,,방어막을 생성합니다.,,Create a shield.,,防御膜を生成します。,
Item_Information_33,,,플레이어의 체력을 5초 동안 지속적으로 회복하는 방어막을 생성합니다.,,Creates a shield that continuously restores the strength of the player for 5 seconds.,,プレイヤーの体力を 5 秒間継続的に回復する防御膜を生成します。,
Item_Information_34,,,체력의 10%를 즉시 회복합니다.,,It instantly restores 10% of your physical strength.,,体力の10%をすぐに回復します。,
Item_Information_35,,,15초 동안 용병의 쿨타임이 40% 감소합니다.,,"In 15 seconds, the mercenary's cool time is reduced by 40%.",,15 秒間、傭兵のクールタイムが 40% 減少します。,
Item_Information_36,,,미니 드론을 소환하여 공중의 적들에게 데미지를 줍니다.,,Summon mini drones to damage enemies in the air.,,ミニドローンを召喚して、空中の敵にダメージを与えます。,
Item_Information_37,,,15초 동안 시야가 넓어집니다.,,The field of view is widened for 15 seconds.,,15秒間、視野が広がります。,
Item_Information_38,,,30초 동안 용병의 행동카운트가 2회 늘어납니다.,,"In 30 seconds, the mercenary's action count is increased by two times.",,30秒間、傭兵の行動カウントが2回増えます。,
Item_Information_39,,,"20초 동안 포탑의 공격속도, 회전속도가 증가합니다.",,The attack speed and rotation speed of the turret increase for 20 seconds.,,20秒間、砲塔の攻撃速度、回転速度が増加します。,
Item_Information_40,,,5초에 한 번 씩 지상폭탄로봇을 소환하는 공장을 설치합니다.(지속시간 30초),,Install a factory that summons ground bomb robots every 5 seconds (30 seconds),,5秒に1回、地上爆弾ロボットを召喚する工場を設置します。(持続時間30秒),
Item_Information_41,,,플레이어의 체력이 5% 감소하지만 30초 동안 플레이어의 능력을 상향시킵니다.,,"Although the player's physical strength is reduced by 5%, it increases the player's ability for 30 seconds.",,プレイヤーの体力は 5% 減少しますが、30 秒間プレイヤーの能力を高めます。,
Item_Information_42,,,레이저 드론을 소환합니다.,,Summon laser drones.,,レーザードローンを召喚します。,
Item_Information_43,,,섬광탄을 던져 범위 내의 적들을 7초 동안 기절시킵니다.,,Throw scintillation bullets to stun enemies within range for 7 seconds.,,閃光弾を投げて範囲内の敵を7秒間、気絶させます。,
Item_Information_44,,,5초동안 게틀링건을 사용 할 수 있습니다.,,You can use the gettling gun for 5 seconds.,,5秒間、ゲトリングガンを使用できます。,
Item_Information_45,,,5발의 유도 미사일을 발사할 수 있습니다.,,It can fire five guided missiles.,,5発の誘導ミサイルを発射できます。,
Item_Information_46,,,10초 동안 레이저건을 사용할 수 있습니다.,,The laser gun can be used for 10 seconds.,,10秒間、レーザーガンを使用できます。,
Item_Information_47,,,10초 동안 화염방사기를 사용할 수 있습니다.,,You can use the flamethrower for 10 seconds.,,火炎放射器を10秒間使用できます。,
Item_Information_48,,,15초 동안 적에게 스턴을 부여 할 수 있는 총을 사용할 수 있습니다.,,You can use a gun that can give your enemy a stun for 15 seconds.,,15秒間、敵にスターンを与えることができる銃を使用できます。,
Item_Information_49,,,용병을 강화할 수 있는 재료이다.,,It is a material that can strengthen mercenaries.,,傭兵を強化できる材料だ。,
Item_Information_50,,,일반 기차를 강화할 수 있는 재료이다.,,It is a material that can strengthen regular trains.,,普通の汽車を強化できる材料だ。,
Item_Information_51,,,무기 파츠를 강화할 수 있는 재료이다.,,It is a material that can strengthen inorganic parts.,,武器パーツを強化できる材料だ。,
Item_Information_52,,,부스터 파츠를 강화할 수 있는 재료이다.,,It is a material that can strengthen booster parts.,,ブースターパーツを強化できる材料です。,
Item_Information_53,,,다른 강화재료로 변환할 수 있는 재료이다. 최소 10개를 가지고 있어야 변환이 가능하다.,,It is a material that can be converted into other reinforcing materials. You need to have at least 10 to convert.,,他の強化材料に変換できる材料である。 少なくとも10個を持っていなければ変換ができない。,
Item_Information_54,,,"용병, 일반, 무기, 부스터, 변환 재료가 들어있다. 최대 10개까지 획득 가능하다.",,"Contains mercenaries, general, weapons, boosters, and conversion materials. Up to 10 can be obtained.",,傭兵、一般、武器、ブースター、変換材料が入っている。 最大10個まで獲得可能だ。,
Item_Information_55,,,"장착, 일반 아이템이 들어있다. 1개 획득 가능하다.",,"Equipped, it contains regular items. 1 can be obtained.",,装着、一般アイテムが入っている。 1つ獲得可能だ。,
Item_Information_56,,,"용병, 일반, 무기, 부스터, 변환, 장착, 일반 아이템이 들어있다. 1개 획득 가능하다.",,"Contains mercenaries, general, weapons, boosters, conversions, fittings, and general items. 1 can be obtained.",,傭兵、一般、武器、ブースター、変換、装着、一般アイテムが入っている。 1つ獲得可能だ。,
Item_Information_57,,,사용시 숙련도 1포인트 획득.,,Earn 1 point of proficiency in use.,,使用時の熟練度1ポイント獲得。,
Item_Information_58,,,"잃어버린 택배, 상점에 주면 보상금을 얻을 수 있다.",,"Lost courier, give it to the store and you can get compensation.",,なくした宅配、商店に渡せば補償金を得ることができる。,
Item_Information_59,,,100골드가 들어있다.,,It contains 100 gold.,,100ゴールドが入っている。,
Item_Information_60,,,1000골드가 들어있다.,,It contains 1000 gold.,,1000ゴールドが入っている。,
Item_Information_61,,,3000골드가 들어있다.,,It contains 3000 gold.,,3000ゴールドが入っている。,
Item_Information_62,,,5000골드로 환급 가능하다.,,It is refundable at 5000 gold.,,5000ゴールドで払い戻し可能だ。,
Item_Information_63,,,8000골드로 환급 가능하다.,,It is refundable for 8000 gold.,,8000ゴールドで払い戻し可能だ。,
Item_Information_64,,,10000골드로 환급 가능하다.,,It is refundable at 10000 gold.,,10000ゴールドに払い戻し可能です。,
Item_Information_65,,,"누군가의 뼈, 팔 수는 없을 것 같다.",,"Someone's bone, I don't think I can sell it.",,誰かの骨、売ることはできないようだ。,
Item_Information_66,,,"구멍이 난 헌 신발, 팔 수는 없을 것 같다.",,"Old shoes with holes, I don't think I can sell them.",,穴のあいた古い靴、売ることはできそうにない。,
Item_Information_67,,,"깨져서 제대로 보이지 않는 거울, 팔 수는 없을 것 같다.",,"A mirror that's broken and can't be seen properly, I don't think I can sell it.",,割れてまともに見えない鏡、売ることはできそうにない。,
Item_Information_68,,,"녹이 잔뜩 슬어버린 고철, 팔 수는 없을 것 같다.",,"I don't think I can sell scrap metal, which is rusty.",,錆びた古鉄、売ることはできそうにない。,
Item_Information_69,,,"버려진 고장난 시계, 팔 수는 없을 것 같다.",,"Abandoned broken watch, I don't think I can sell it.",,捨てられた壊れた時計、売ることはできそうにない。,
Item_Information_70,,,퀘스트 아이템입니다.,,This is a quest item.,,クエストアイテムです。,
Item_Information_71,,,퀘스트 아이템입니다.,,This is a quest item.,,クエストアイテムです。,
Item_Information_72,,,퀘스트 아이템입니다.,,This is a quest item.,,クエストアイテムです。,
Item_Information_73,,,퀘스트 아이템입니다.,,This is a quest item.,,クエストアイテムです。,
Item_Information_74,,,퀘스트 아이템입니다.,,This is a quest item.,,クエストアイテムです。,
Item_Information_75,,,퀘스트 아이템입니다.,,This is a quest item.,,クエストアイテムです。,
Item_Information_76,,,퀘스트 아이템입니다.,,This is a quest item.,,クエストアイテムです。,
Item_Information_77,,,퀘스트 아이템입니다.,,This is a quest item.,,クエストアイテムです。,
Item_Information_78,,,퀘스트 아이템입니다.,,This is a quest item.,,クエストアイテムです。,
Item_Information_79,,,퀘스트 아이템입니다.,,This is a quest item.,,クエストアイテムです。,
